"SPECIE","SPECIE_NAME"
"M_m01527l","chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S), degradation product 2"
"M_HC01988_c","Stearoyl-ACP"
"M_m00328c","12-oxo-10,11-dihydro-20-COOH-LTB4"
"M_cysleuthr_c","Cystyl-Leucyl-Threonine"
"M_3ispvs_c","3-alpha-iso-pravastatin"
"M_m01659c","dehydroepiandrosterone sulfate"
"M_m02724c","phenylalanine"
"M_m03089c","tryptophan"
"M_m01526l","chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S), degradation product 1"
"M_m00329c","12-oxo-20-carboxy-LTB4"
"M_m02857m","S-(2-methylpropanoyl)-dihydrolipoamide"
"M_subgly_c","Suberyl-Glycine"
"M_m01658c","dehydrodolichol-phosphate"
"M_m02723c","phenylacetylglycine"
"M_m01525g","chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan"
"M_m03088c","tryptamine"
"M_eipencoa_p","2,5,8,11,14-Eicosapentaenoyl Coenzyme A"
"M_CE5123_p","3(S)-2-Hydroxyphytanoyl Coenzyme A"
"M_m00326c","12-keto-LTB4"
"M_m02989c","thiopurine"
"M_m00459c","1-acylglycerol-3P-7,10,13,16,19-docosa"
"M_m02856m","S-(2-methylbutanoyl)-dihydrolipoamide"
"M_m02722c","phenylacetylglutamine"
"M_m01657c","dehydrodolichol-diphosphate"
"M_m02855c","S-(2-hydroxyethyl)glutathione"
"M_m03087c","tRNA-uridine"
"M_tauribup_S_c","taurine conjugate of S-ibuprofen"
"M_m01524l","chondroitin sulfate A (GalNAc4S-GlcA), free chain"
"M_m00327c","12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate"
"M_m02988c","thiol"
"M_bzcoa_m","Benzoyl Coenzyme A"
"M_m02721c","phenylacetyl-CoA"
"M_m01789c","estrone 3-sulfate"
"M_m02854c","S-(2-chloroacetyl)glutathione"
"M_m01656c","dehydrodolichol"
"M_m03086c","tRNA-queuine"
"M_m01523l","chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5"
"M_m02987c","thiocysteine"
"M_m00324c","12-hydroxy-arachidonate"
"M_m00457c","1-acylglycerol-3P-6,9,12,15-octa"
"M_am1accs_c","AM1Ac (cyclosporine)"
"M_m02720c","phenylacetate"
"M_m02853c","S-(2,2-dichloro-1-hydroxy)ethyl glutathione"
"M_m01655c","dehydroascorbic acid"
"M_m01788c","estriol"
"M_hislysglu_c","Histidyl-Lysyl-Glutamate"
"M_m03085c","tRNA-pseudouridine"
"M_m01522l","chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4"
"M_m00458c","1-acylglycerol-3P-6,9-octa"
"M_m00325c","12-hydroxydodecanoic acid"
"M_m02986c","thiocyanate"
"M_m02852c","S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione"
"M_m01787c","estradiol-17beta"
"M_m01654c","dehydroalanine"
"M_m03084c","tRNA-guanine"
"M_m01521l","chondroitin sulfate A (GalNAc4S-GlcA), degradation product 3"
"M_m00322c","12-hydroperoxyeicosatetraenoate-glyceryl-ester"
"M_m02985c","thiamin-PPP"
"M_m00455c","1-acylglycerol-3P-6,9,12,15,18,21-tetra"
"M_m00588c","20-dihydroxy-LTB4"
"M_C03372_c","1-Acylglycerone 3-Phosphate"
"M_serphelys_c","Seryl-Phenylalanyl-Lysine"
"M_1ohmdz_c","1'-OH-midazolam"
"M_sebcoa_c","Sebacoyl Coenzyme A"
"M_m02851c","S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione"
"M_m01786c","estradiol-17beta 3-glucuronide"
"M_m01653c","de-Fuc, GlcNAc removed PA6 (wo peptide linkage)"
"M_m03083c","tRNA"
"M_m01520l","chondroitin sulfate A (GalNAc4S-GlcA), degradation product 2"
"M_m00456c","1-acylglycerol-3P-6,9,12,15,18-tetraco"
"M_m00589c","20-hydroperoxy-H4-neuroprostane"
"M_proglulys_c","Prolyl-Glutamatsyl-Lysine"
"M_m00323c","12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate"
"M_m02984c","thiamin-PP"
"M_m02850c","S-(1,2-dichlorovinyl)glutathione"
"M_m00586p","20-COOH-LTE4"
"M_m01785c","erythrose-4-phosphate"
"M_argpromet_c","Arginyl-Prolyl-Methionine"
"M_m03082c","tRNA(val)"
"M_m01652l","de-Fuc form of PA6"
"M_m00320c","12-epi-LTB4"
"M_m02983c","thiamin-P"
"M_m00453c","1-acylglycerol-3P-5,8,11-eico"
"M_m03081c","tRNA(tyr)"
"M_m00587p","20-COOH-LTE4-CoA"
"M_coprost_c","Coprostanol"
"M_m01784c","EPA"
"M_m01651c","de-Fuc form of PA6 (wo peptide linkage)"
"M_m00454c","1-acylglycerol-3P-5-tetrade"
"M_m00321c","12-hetre"
"M_m02982c","thiamin"
"M_m03080c","tRNA(trp)"
"M_m00584p","20-COOH-18-oxo-LTE4-CoA"
"M_m02109c","hexacosanoylcarnitine"
"M_m01650c","decanoyl-CoA"
"M_CN0016_c","Dibenzo[A,L]Pyrene"
"M_2dp6mobq_me_m","2-Decaprenyl-6-Methoxy-3-Methyl-1,4-Benzoquinone"
"M_m01783r","emgacpail heparan sulfate"
"M_m02981c","THF-hexaglutamate"
"M_m00451c","1-acylglycerol-3P-4,7,10,13,16-docosa"
"M_aspvalasn_c","Aspartyl-Valyl-Asparagine"
"M_9_cis_retfa_c","Fatty Acid 9-Cis-Retinol"
"M_3octdece1crn_c","3-Hydroxy-Octadecenoyl Carnitine"
"M_m02108c","heptylic acid"
"M_oxy1rb_c","oxypurinol-1-riboside"
"M_tyralaphe_c","Tyrosyl-Alaninyl-Phenylalanine"
"M_m00452c","1-acylglycerol-3P-5,8,11,14,17-eico"
"M_m01782r","emem2gacpail heparan sulfate"
"M_m00585c","20-COOH-LTB4"
"M_m02980c","THF"
"M_m02107c","heptanoyl-CoA"
"M_6ohfvsglu_c","6-hydroxy-fluvastatin-glucuronide"
"M_m00582c","20-CoA-20-oxo-LTB4"
"M_m01781r","em3gacpail heparan sulfate"
"M_m02106c","heptanoyl-[ACP]"
"M_m00583c","20-COOH-10,11-dihydro-LTB4"
"M_m02239l","keratan sulfate I, degradation product 11"
"M_m00450c","1-acylglycerol-3P-4,7,10,13,16,19-doco"
"M_m01780r","em2emgacpail_prot heparan sulfate"
"M_leuasnasp_c","Leucyl-Asparaginyl-Aspartate"
"M_m00580c","20alpha-hydroxy-4-pregnen-3-one"
"M_m02105c","heptaglutamyl-folate(THF)"
"M_m00808c","3-isoLM1"
"M_asplysglu_c","Aspartyl-Lysyl-Glutamate"
"M_pcholmyr_hs_c","1-Myristoylglycerophosphocholine"
"M_m01039c","5(S)-HEPE"
"M_m02238l","keratan sulfate I, degradation product 10"
"M_m00581c","20-CoA-20-oxo-18r-hydroxy-LTB4"
"M_m02104c","heptaglutamyl-folate(DHF)"
"M_m00809c","3-keto-4-methylzymosterol"
"M_m02237l","keratan sulfate I, degradation product 1"
"M_m02103c","heptadecenoylcarnitine(8)"
"M_m02236g","keratan sulfate I biosynthesis, precursor 9"
"M_m02369c","leukotriene E4"
"M_m01037m","5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA"
"M_m00939c","4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol"
"M_m00805c","3-hydroxyundecanoyl-[ACP]"
"M_m00938c","4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8-en-3beta-ol"
"M_m02102c","heptadecenoylcarnitine(7)"
"M_thrglntyr_c","Threonyl-Glutaminyl-Tyrosine"
"M_m02368c","leukotriene D5"
"M_m00807c","3-iodo-L-tyrosine"
"M_m01038c","5(S),6(S)-epoxy-15(R)-HEPE"
"M_m00806m","3-hydroxyundecanoyl-CoA"
"M_m02235g","keratan sulfate I biosynthesis, precursor 8"
"M_m02367c","leukotriene C5"
"M_m02101c","heptadecanoyl-CoA"
"M_CE5865_c","L-Leucyl-L-Serine"
"M_indole_c","Indole"
"M_ptvstlac_c","pitavastatin-lactone"
"M_m00803c","3-hydroxytridecanoyl-[ACP]"
"M_m01035c","5-(3-pyridyl)-2-hydroxytetrahydrofuran"
"M_m01168c","6-oxo-prostaglandin F1alpha"
"M_galam_c","D-Galactosamine"
"M_m02234g","keratan sulfate I biosynthesis, precursor 7"
"M_pcholn15_hs_c","1-Pentadecanoylglycerophosphocholine, Sn1-Lpc (15:0)"
"M_m00936m","4(S)-hydroxy-dodec-(6Z)-enoate"
"M_m02366c","leukotriene C4"
"M_m02499c","N,N-dimethyldopaminequinone"
"M_m02100c","heptadecanoylcarnitine"
"M_m01036c","5-(D-galactosyloxy)-L-lysine-procollagen"
"M_m00937c","4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol"
"M_m01169c","6-phospho-D-gluconate"
"M_pcholn203_hs_c","1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14), Lysopc A C20:3"
"M_m02233g","keratan sulfate I biosynthesis, precursor 6"
"M_m00804m","3-hydroxytridecanoyl-CoA"
"M_m02498c","N,N-chitobiosyldiphosphodolichol"
"M_m00801p","3-hydroxy-THA-CoA"
"M_m02365c","leukotriene B5"
"M_m01166c","6-methylmercaptopurine"
"M_HC02099_c","(2E)-Octadecenoyl-ACP"
"M_m01033c","4-pyridoxate"
"M_thrfvs_c","threo-isomer of fluvastain"
"M_m01299c","aflatoxin B1-exo-8,9-epoxide-GSH"
"M_omhdecacid_c","W-Hydroxydecanoicacid"
"M_m00934m","4(R),8-dimethyl-trans-2-nonenoyl-CoA"
"M_m02232g","keratan sulfate I biosynthesis, precursor 5"
"M_m02364c","leukotriene B4"
"M_m02497c","N-(omega)-hydroxyarginine"
"M_m01034c","4-trimethylammoniobutanal"
"M_m01167c","6-oxo-prostaglandin E1"
"M_m00802c","3-hydroxytricosanoyl-CoA"
"M_m02231g","keratan sulfate I biosynthesis, precursor 4"
"M_lca3s_c","Lithocholic acid 3-sulfate"
"M_am1csa_c","AM1 (cyclosporine)"
"M_m00935m","4(R)-hydroxy-dodec-(6Z)-enoate"
"M_m02496c","N(omega)-(ADP-D-ribosyl)-L-arginine"
"M_tag1p_D_c","D-Tagatose 1-Phosphate"
"M_hyochol_c","Hyocholic acid; gamma-Muricholate"
"M_m01031c","4-oxo-all-trans-retinoate"
"M_m01164c","6-lactoyl-5,6,7,8-tetrahydropterin"
"M_octd11ecoa_c","11-Octadecenoyl Coenzyme A"
"M_m01297c","aflatoxin B1-endo-8,9-epoxide"
"M_uchol_c","Ursocholic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid; 7beta-Hydroxyisocholic acid; 7-Epicholic acid"
"M_m00932c","4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone"
"M_m00099m","(5Z)-dodecenoyl-CoA"
"M_m02230g","keratan sulfate I biosynthesis, precursor 36"
"M_m02363c","leukotriene A5"
"M_inds_c","Indoxyl Sulfate"
"M_m01165m","6-methoxy-3-methyl-2-all-trans-decaprenyl-1,4-benzoquinol"
"M_smv_c","simvastatin lactone form"
"M_m01032c","4-oxoretinol"
"M_m01298c","aflatoxin B1-exo-8,9-epoxide"
"M_3dodtricoa_m","3,6,9-Dodecatrienoyl Coenzyme A"
"M_m00800c","3-hydroxytetracosanoyl-CoA"
"M_m00933c","4(R),8-dimethyl-nonanoyl-CoA"
"M_m02362c","leukotriene A4"
"M_m02495c","myristoyl-CoA"
"M_dodecanac_c","Dodecanedioic Acid"
"M_m01162c","6-hydroxymelatonin-sulfate"
"M_m01295c","aflatoxin B1 diol"
"M_gluilelys_c","Glutamyl-Isoleucyl-Lysine"
"M_m00930c","4-(methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol"
"M_trpvalasp_c","Tryptophanyl-Valyl-Aspartate"
"M_m02494c","myristic acid"
"M_m02361c","leukoaminochrome"
"M_3hlvstacid_c","3''-hydroxy-lovastatin acid form"
"M_m00098c","(5S,6S)-epoxy-(15R)-hydroxy-ETE"
"M_meracmp_c","acetaminophen-mercapturate-conjugate/N-acetyl-cysteine-acetaminophen"
"M_m01296c","aflatoxin B1"
"M_m00097s","(5-L-glutamyl)-L-amino acid"
"M_m01030c","4-oxo-9-cis-retinoyl-beta-glucuronide"
"M_m01163c","6-hydroxypaclitaxel"
"M_m00931c","4-(nitrosoamino)-1-(3-pyridinyl)-1-butanone"
"M_CE2616_c","2-Hydroxyamino-Meiqx-N2-(Beta-1-Glucosiduronyl)-2-Hydroxyamino-3,8-Dimethylimidazo[4,5-F]Quinoxaline"
"M_m02360c","leucine"
"M_m02493c","myo-inositol-polyphosphate"
"M_m01160c","6-hydroxy-1,2,3,4-tetrahydro-beta-carboline"
"M_m01293c","adrenochrome-O-semiquinone"
"M_trpgluleu_c","Tryptophanyl-Glutamyl-Leucine"
"M_m02719c","phenylacetaldehyde"
"M_nfdac_c","acid metabolite of nifedipine"
"M_pelinl_hs_c","1-Linoleoylglycerophosphoethanolamine (Delta 9,12)"
"M_glylysphe_c","Glycyl-Lysyl-Phenylalanine"
"M_m00095c","(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA"
"M_m02492c","myo-inositol-hexakisphosphate"
"M_lstnm5_c","Losartan-M5"
"M_m01294c","aflatoxin B1 dialdehyde"
"M_m01161c","6-hydroxymelatonin"
"M_m02718c","phenethylamine"
"M_m02491c","monosialylgalactosylgloboside"
"M_m00096c","(5)ppPur-mRNA"
"M_m01291c","adrenic acid"
"M_m01519l","chondroitin sulfate A (GalNAc4S-GlcA), degradation product 1"
"M_m02717c","PGP-CL pool"
"M_c12dc_c","Dodecanedioyl Carnitine"
"M_m02490c","monofucosyllactoisooctaosylceramide"
"M_m00093c","(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA"
"M_m01518g","chondroitin sulfate A (GalNAc4S-GlcA), B (IdoA2S-GalNAc4S), and E (GalNAc4,6diS-GlcA), precursor 1"
"M_m01292c","adrenochrome"
"M_m02716c","PGH3"
"M_m02849c","RNA-terminal-2,3-cyclic-phosphate"
"M_m00094c","(4Z,7Z,10Z,13Z,16Z)-DPA"
"M_C04308_m","Phosphatidyl-N-Dimethylethanolamine"
"M_m01517g","chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan"
"M_m02715c","PG-CL pool"
"M_m00090p","(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA"
"M_m02848c","RNA-3-terminal-phosphate"
"M_m00318c","12,20-diHETE"
"M_m01649c","decanoyl-[ACP]"
"M_m01290c","adrenaline"
"M_m01516g","chondroitin sulfate A (GalNAc4S-GlcA) and B (IdoA2S-GalNAc4S), precursor 3"
"M_m02714c","peroxynitrite"
"M_m02847c","RNA"
"M_CE2891_c","Dynorphin B"
"M_m00091m","(4Z,7Z,10Z)-hexadecatrienoyl-CoA"
"M_m00319c","12,20-dioxo-LTB4"
"M_CE5829_c","5-Ht-Moduline"
"M_m03079c","tRNA(thr)"
"M_m00092c","(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine"
"M_and19one_c","19-Hydroxyandrost-4-Ene-3,17-Dione"
"M_tyrcysgly_c","Tyrosyl-Cysteinyl-Glycine"
"M_m01648c","decanoic acid"
"M_m02713c","perillyl aldehyde"
"M_m02846c","ribulose-5-phosphate"
"M_m01515g","chondroitin sulfate A (GalNAc4S-GlcA) and B (IdoA2S-GalNAc4S), precursor 2"
"M_m03078c","tRNA(ser)"
"M_m00449c","1-acylglycerol-3P-15-tetra"
"M_m02979c","tetrahydropteroyltri-L-glutamate"
"M_m00316c","12,15,18,21-tetracosatetraenoylcarnitine"
"M_m01647c","debrisoquin"
"M_m01514c","choloyl-CoA"
"M_m02712c","perillyl alcohol"
"M_m02845c","ribose-5-phosphate"
"M_m03077c","tRNA(pro)"
"M_tetdec2coa_c","Tetradecadienoyl Coenzyme A"
"M_m00317c","12,15,18,21-tetracosatetraenoyl-CoA"
"M_m02978c","tetrahydrobiopterin"
"M_m02711c","perillic acid"
"M_m01646c","deamido-NAD"
"M_m02844c","ribose-1-phosphate"
"M_m01513c","choline"
"M_m03076c","tRNA(phe)"
"M_am1ccs_c","AM1c (cyclosporine)"
"M_m01779r","em2emgacpail heparan sulfate"
"M_m00447c","1-acylglycerol-3P-13-eicose"
"M_m02977c","tetraHCA"
"M_m00314c","12,13-hydroxyoctadec-9(z)-enoate"
"M_m02710c","peptidylproline-(omega=180)"
"M_m01778c","elaidate"
"M_m02843c","ribose"
"M_m01645c","dCTP"
"M_m01512c","cholesterol-sulfate"
"M_m03075c","tRNA(met)"
