"SPECIE"	"SPECIE_NAME"	"TOTAL_PMID_SPECIE"
"M_m00811c"	"3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA"	0
"M_m00944c"	"4,5-dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene"	0
"M_4mtob_c"	"4-Methyl-Thio-Oxo-Butyrate"	0
"M_m00812s"	"3-ketolactose"	0
"M_m01177c"	"7alpha,12alpha-dihydroxy-5beta-cholestan-3-one"	0
"M_m01044c"	"5,10-methenyl-THF"	47
"M_m00945c"	"4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline"	0
"M_CE2615_c"	"2-Hydroxyamino-3,8-Dimethylimidazo[4,5-F]Quinoxaline"	0
"M_leuproarg_c"	"Leucyl-Prolyl-Arginine"	0
"M_hislysval_c"	"Histidyl-Lysyl-Valine"	0
"M_m01041c"	"5(S)-HpEPE"	0
"M_m00942c"	"4,4-dimethyl-5alpha-cholesta-8,14-dien-3-beta-ol"	0
"M_m02373c"	"L-fuculose"	0
"M_m00810s"	"3-keto-beta-D-galactose"	0
"M_m01175c"	"7,8-dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene"	0
"M_cvm1gluc_r"	"cerivastatin-M1-glucuronide"	0
"M_m00943c"	"4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol"	0
"M_m02372c"	"L-fucose-1-phosphate"	11
"M_argglygly_c"	"Arginyl-Glycyl-Glycine"	0
"M_hpdece_c"	"Trans-Delta-2-Heptadecanoic Acid"	0
"M_m00940c"	"4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol"	0
"M_m02371c"	"L-formylkynurenine"	84
"M_m02370c"	"leukotriene F4"	11
"M_m00941c"	"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol"	49
"M_m02729c"	"phosphatidate-LD-PE pool"	0
"M_lstnm4_c"	"Losartan-M4 (glucuronide derivative)"	0
"M_m01171c"	"6-trans-12-epi-LTB4"	0
"M_m02728c"	"phosphatidate-LD-PC pool"	0
"M_tlacfvs_c"	"trans-lactone-fluvastatin"	0
"M_m02727m"	"phosphatidate-CL pool"	0
"M_phetrpleu_c"	"Phenylalanyl-Tryptophanyl-Leucine"	0
"M_m02859c"	"S-(9-deoxy-delta12-PGD2)-glutathione"	0
"M_mettrpphe_c"	"Methionyl-Tryptophanyl-Phenylalanine"	0
"M_m02858m"	"S-(3-methylbutanoyl)-dihydrolipoamide"	0
"M_HC01988_c"	"Stearoyl-ACP"	0
"M_cysleuthr_c"	"Cystyl-Leucyl-Threonine"	0
"M_m02857m"	"S-(2-methylpropanoyl)-dihydrolipoamide"	0
"M_subgly_c"	"Suberyl-Glycine"	0
"M_m02723c"	"phenylacetylglycine"	84
"M_eipencoa_p"	"2,5,8,11,14-Eicosapentaenoyl Coenzyme A"	0
"M_m00326c"	"12-keto-LTB4"	2
"M_m02989c"	"thiopurine"	0
"M_m02856m"	"S-(2-methylbutanoyl)-dihydrolipoamide"	0
"M_m02722c"	"phenylacetylglutamine"	84
"M_m01657c"	"dehydrodolichol-diphosphate"	0
"M_m02855c"	"S-(2-hydroxyethyl)glutathione"	1
"M_m00327c"	"12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate"	0
"M_bzcoa_m"	"Benzoyl Coenzyme A"	0
"M_m02721c"	"phenylacetyl-CoA"	80
"M_m02854c"	"S-(2-chloroacetyl)glutathione"	0
"M_m03086c"	"tRNA-queuine"	0
"M_m02987c"	"thiocysteine"	28
"M_m00457c"	"1-acylglycerol-3P-6,9,12,15-octa"	0
"M_am1accs_c"	"AM1Ac (cyclosporine)"	0
"M_m02853c"	"S-(2,2-dichloro-1-hydroxy)ethyl glutathione"	0
"M_m01655c"	"dehydroascorbic acid"	5
"M_hislysglu_c"	"Histidyl-Lysyl-Glutamate"	0
"M_m00325c"	"12-hydroxydodecanoic acid"	37
"M_m02852c"	"S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione"	0
"M_m03084c"	"tRNA-guanine"	0
"M_m00322c"	"12-hydroperoxyeicosatetraenoate-glyceryl-ester"	0
"M_serphelys_c"	"Seryl-Phenylalanyl-Lysine"	0
"M_1ohmdz_c"	"1'-OH-midazolam"	0
"M_sebcoa_c"	"Sebacoyl Coenzyme A"	0
"M_m02851c"	"S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione"	0
"M_m03083c"	"tRNA"	0
"M_m00589c"	"20-hydroperoxy-H4-neuroprostane"	0
"M_proglulys_c"	"Prolyl-Glutamatsyl-Lysine"	0
"M_m02850c"	"S-(1,2-dichlorovinyl)glutathione"	0
"M_m01785c"	"erythrose-4-phosphate"	78
"M_argpromet_c"	"Arginyl-Prolyl-Methionine"	0
"M_m03082c"	"tRNA(val)"	0
"M_m00320c"	"12-epi-LTB4"	0
"M_m03081c"	"tRNA(tyr)"	0
"M_m00321c"	"12-hetre"	0
"M_m03080c"	"tRNA(trp)"	0
"M_m02109c"	"hexacosanoylcarnitine"	0
"M_m01650c"	"decanoyl-CoA"	16
"M_2dp6mobq_me_m"	"2-Decaprenyl-6-Methoxy-3-Methyl-1,4-Benzoquinone"	0
"M_m01783r"	"emgacpail heparan sulfate"	0
"M_aspvalasn_c"	"Aspartyl-Valyl-Asparagine"	0
"M_9_cis_retfa_c"	"Fatty Acid 9-Cis-Retinol"	0
"M_3octdece1crn_c"	"3-Hydroxy-Octadecenoyl Carnitine"	0
"M_oxy1rb_c"	"oxypurinol-1-riboside"	0
"M_tyralaphe_c"	"Tyrosyl-Alaninyl-Phenylalanine"	0
"M_m00452c"	"1-acylglycerol-3P-5,8,11,14,17-eico"	0
"M_m01782r"	"emem2gacpail heparan sulfate"	0
"M_m00585c"	"20-COOH-LTB4"	18
"M_m02107c"	"heptanoyl-CoA"	0
"M_6ohfvsglu_c"	"6-hydroxy-fluvastatin-glucuronide"	0
"M_m01781r"	"em3gacpail heparan sulfate"	0
"M_m00583c"	"20-COOH-10,11-dihydro-LTB4"	0
"M_m00450c"	"1-acylglycerol-3P-4,7,10,13,16,19-doco"	0
"M_leuasnasp_c"	"Leucyl-Asparaginyl-Aspartate"	0
"M_m00580c"	"20alpha-hydroxy-4-pregnen-3-one"	4
"M_m02105c"	"heptaglutamyl-folate(THF)"	0
"M_asplysglu_c"	"Aspartyl-Lysyl-Glutamate"	0
"M_m01039c"	"5(S)-HEPE"	2
"M_m02104c"	"heptaglutamyl-folate(DHF)"	0
"M_m00809c"	"3-keto-4-methylzymosterol"	0
"M_m01037m"	"5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA"	0
"M_m00939c"	"4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol"	0
"M_m00938c"	"4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8-en-3beta-ol"	0
"M_thrglntyr_c"	"Threonyl-Glutaminyl-Tyrosine"	0
"M_m02368c"	"leukotriene D5"	0
"M_m00807c"	"3-iodo-L-tyrosine"	80
"M_m02367c"	"leukotriene C5"	6
"M_m02101c"	"heptadecanoyl-CoA"	2
"M_indole_c"	"Indole"	0
"M_ptvstlac_c"	"pitavastatin-lactone"	0
"M_m01035c"	"5-(3-pyridyl)-2-hydroxytetrahydrofuran"	0
"M_m02499c"	"N,N-dimethyldopaminequinone"	0
"M_m02100c"	"heptadecanoylcarnitine"	1
"M_m01036c"	"5-(D-galactosyloxy)-L-lysine-procollagen"	0
"M_m00937c"	"4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol"	0
"M_m02498c"	"N,N-chitobiosyldiphosphodolichol"	0
"M_m00801p"	"3-hydroxy-THA-CoA"	0
"M_m02365c"	"leukotriene B5"	57
"M_m01166c"	"6-methylmercaptopurine"	0
"M_m01299c"	"aflatoxin B1-exo-8,9-epoxide-GSH"	5
"M_omhdecacid_c"	"W-Hydroxydecanoicacid"	0
"M_m00934m"	"4(R),8-dimethyl-trans-2-nonenoyl-CoA"	0
"M_m02497c"	"N-(omega)-hydroxyarginine"	0
"M_m01034c"	"4-trimethylammoniobutanal"	7
"M_am1csa_c"	"AM1 (cyclosporine)"	0
"M_m02496c"	"N(omega)-(ADP-D-ribosyl)-L-arginine"	16
"M_tag1p_D_c"	"D-Tagatose 1-Phosphate"	0
"M_m01164c"	"6-lactoyl-5,6,7,8-tetrahydropterin"	4
"M_octd11ecoa_c"	"11-Octadecenoyl Coenzyme A"	0
"M_m01297c"	"aflatoxin B1-endo-8,9-epoxide"	0
"M_m00932c"	"4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone"	0
"M_m00099m"	"(5Z)-dodecenoyl-CoA"	0
"M_m02363c"	"leukotriene A5"	0
"M_m01165m"	"6-methoxy-3-methyl-2-all-trans-decaprenyl-1,4-benzoquinol"	0
"M_smv_c"	"simvastatin lactone form"	0
"M_m01032c"	"4-oxoretinol"	0
"M_m01298c"	"aflatoxin B1-exo-8,9-epoxide"	74
"M_3dodtricoa_m"	"3,6,9-Dodecatrienoyl Coenzyme A"	0
"M_m00800c"	"3-hydroxytetracosanoyl-CoA"	0
"M_m00933c"	"4(R),8-dimethyl-nonanoyl-CoA"	0
"M_m02495c"	"myristoyl-CoA"	85
"M_dodecanac_c"	"Dodecanedioic Acid"	75
"M_m01162c"	"6-hydroxymelatonin-sulfate"	0
"M_m01295c"	"aflatoxin B1 diol"	0
"M_gluilelys_c"	"Glutamyl-Isoleucyl-Lysine"	0
"M_m00930c"	"4-(methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol"	0
"M_trpvalasp_c"	"Tryptophanyl-Valyl-Aspartate"	0
"M_m02361c"	"leukoaminochrome"	1
"M_m00098c"	"(5S,6S)-epoxy-(15R)-hydroxy-ETE"	0
"M_meracmp_c"	"acetaminophen-mercapturate-conjugate/N-acetyl-cysteine-acetaminophen"	0
"M_m00097s"	"(5-L-glutamyl)-L-amino acid"	1
"M_m00931c"	"4-(nitrosoamino)-1-(3-pyridinyl)-1-butanone"	0
"M_CE2616_c"	"2-Hydroxyamino-Meiqx-N2-(Beta-1-Glucosiduronyl)-2-Hydroxyamino-3,8-Dimethylimidazo[4,5-F]Quinoxaline"	0
"M_m01160c"	"6-hydroxy-1,2,3,4-tetrahydro-beta-carboline"	12
"M_trpgluleu_c"	"Tryptophanyl-Glutamyl-Leucine"	0
"M_glylysphe_c"	"Glycyl-Lysyl-Phenylalanine"	0
"M_m00095c"	"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA"	0
"M_lstnm5_c"	"Losartan-M5"	0
"M_m01294c"	"aflatoxin B1 dialdehyde"	0
"M_m02491c"	"monosialylgalactosylgloboside"	0
"M_m00096c"	"(5)ppPur-mRNA"	0
"M_m01291c"	"adrenic acid"	63
"M_m02717c"	"PGP-CL pool"	0
"M_c12dc_c"	"Dodecanedioyl Carnitine"	0
"M_m00093c"	"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA"	0
"M_C04308_m"	"Phosphatidyl-N-Dimethylethanolamine"	0
"M_m02715c"	"PG-CL pool"	0
"M_m00090p"	"(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA"	0
"M_m01649c"	"decanoyl-[ACP]"	0
"M_m03079c"	"tRNA(thr)"	0
"M_m00092c"	"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine"	0
"M_and19one_c"	"19-Hydroxyandrost-4-Ene-3,17-Dione"	0
"M_tyrcysgly_c"	"Tyrosyl-Cysteinyl-Glycine"	0
"M_m02846c"	"ribulose-5-phosphate"	83
"M_m03078c"	"tRNA(ser)"	0
"M_m02979c"	"tetrahydropteroyltri-L-glutamate"	0
"M_m01514c"	"choloyl-CoA"	3
"M_m03077c"	"tRNA(pro)"	0
"M_m00317c"	"12,15,18,21-tetracosatetraenoyl-CoA"	0
"M_m01646c"	"deamido-NAD"	36
"M_m02844c"	"ribose-1-phosphate"	65
"M_m03076c"	"tRNA(phe)"	0
"M_am1ccs_c"	"AM1c (cyclosporine)"	0
"M_m01779r"	"em2emgacpail heparan sulfate"	0
"M_m00314c"	"12,13-hydroxyoctadec-9(z)-enoate"	1
"M_m03075c"	"tRNA(met)"	0
"M_c81crn_c"	"Octenoyl Carnitine"	1
"M_m00578m"	"2,6-dimethyl-trans-2-heptenoyl-CoA"	0
"M_m03074c"	"tRNA(lys)"	0
"M_ileasnhis_c"	"Isoleucyl-Asparaginyl-Histidine"	0
"M_m00445c"	"1-acylglycerol-3P-13,16-docosa"	0
"M_CE5122_c"	"3(S)-Phytanoyl Coenzyme A"	13
"M_m01643c"	"dCDP"	16
"M_m03073c"	"tRNA(leu)"	0
"M_m00579c"	"20alpha,22beta dihydroxycholesterol"	13
"M_m02974c"	"tetradecenoylcarnitine(5)"	0
"M_m03072c"	"tRNA(ile)"	0
"M_m02973c"	"tetradecanoylcarnitine"	0
"M_m00310c"	"12,13-epoxy-(6Z,9Z)-octadecadienoic acid"	0
"M_am4ncs_c"	"AM4N (cyclosporine)"	0
"M_m01774c"	"eicosatrienoylcarnitine"	0
"M_m03071c"	"tRNA(his)"	0
"M_m00311c"	"12,13-epoxy-9-alkoxy-(10E)-octadecenoate"	0
"M_m00577c"	"2,6-dimethylheptanoyl-carnitine"	0
"M_m02972c"	"tetradecanoyl-[ACP]"	0
"M_aspglu_c"	"Aspartyl-Glutamate"	0
"M_m03070c"	"tRNA(gly)"	0
"M_m01773c"	"eicosanoyl-CoA"	9
"M_m00441c"	"1-acylglycerol-3P-11-docose"	0
"M_m02971c"	"tetracosanoyl-CoA"	10
"M_m00574c"	"2,5-diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)-amino-4-oxopyrimidine"	0
"M_m01772c"	"eicosanoylcarnitine"	0
"M_3hpvstetcoa_c"	"3'-S-hydroxy-pravastatin-tetranor-CoA"	0
"M_5cysgly34dhphe_s"	"5-S-Cysteinylglycine Dopa"	0
"M_m00575c"	"2,5-diaminopyrimidine nucleoside triphosphate"	0
"M_m00442c"	"1-acylglycerol-3P-11-eico"	0
"M_m02970c"	"tetracosanoylcarnitine"	0
"M_proargcys_c"	"Prolyl-Arginyl-Cysteine"	0
"M_m00572c"	"2,3-diketo-5-methylthiopentyl-1-phosphate"	1
"M_lystrparg_c"	"Lysyl-Tryptophanyl-Arginine"	0
"M_m01770c"	"eicosadienoylcarnitine"	0
"M_m00440c"	"1-acylglycerol-3P-11,14-eicosa"	0
"M_m00573c"	"2,3-diketo-L-gulonate"	79
"M_m01029c"	"4-oxo-9-cis-retinoate"	0
"M_lysvalphe_c"	"Lysyl-Valyl-Phenylalanine"	0
"M_m00571c"	"2,3-dihydro-2-S-glutathionyl-3-hydroxy bromobenzene"	0
"M_m00929c"	"4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol"	0
"M_m02358c"	"L-erythro-4-hydroxyglutamate"	0
"M_xolest182_hs_c"	"1-Linoleoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12)"	0
"M_valtrpval_c"	"Valyl-Tryptophanyl-Valine"	0
"M_m01025c"	"4-oxo-1-(3-pyridyl)-1-butanone"	0
"M_m00926c"	"4-(2-aminophenyl)-2,4-dioxobutanoate"	2
"M_m01158c"	"6beta-hydroxytestosterone"	89
"M_glz_c"	"Gliclazide"	0
"M_m02356c"	"L-dopaquinone"	54
"M_ileglyarg_c"	"Isolecyl-Glycyl-Arginine"	0
"M_m00928c"	"4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide"	0
"M_gluasnleu_c"	"Glutaminyl-Asparaginyl-Leucine"	0
"M_m00927c"	"4-(methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone"	0
"M_m01026c"	"4-oxo-13-cis-retinoate"	30
"M_m02355c"	"L-dopachrome"	0
"M_m00924c"	"4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate"	0
"M_m01289c"	"ADP-ribose-2-phosphate"	0
"M_m01023c"	"4-OH-9-cis-retinal"	0
"M_m01156c"	"6-[2,3-dihydroxy-1-(hydroxymethyl)propyl]-1,2-dihydro-7-hydroxy-9-methoxy-cyclopenta[c][1]benzopyran-3,4-dione"	0
"M_m01157p"	"6-amino-2-oxohexanoate"	3
"M_m01024c"	"4-OH-retinal"	0
"M_hismetgln_c"	"Histidyl-Methionyl-Glutamine"	0
"M_m00925c"	"4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid-O-glucoside"	5
"M_m01287c"	"ADP-mannose"	3
"M_m01154c"	"6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline"	24
"M_m00922c"	"3-ureidoisobutyrate"	21
"M_alahisala_c"	"Alanyl-Histidyl-Alanine"	0
"M_cysglnmet_c"	"Cystyl-Glutaminyl-Methionine"	0
"M_m01155c"	"6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin"	38
"M_m01022c"	"4-OH-13-cis-retinal"	0
"M_m00923c"	"3-ureidopropionate"	51
"M_C01264_c"	"1-Alkyl-2-Acetyl-Sn-Glycerol 3-Phosphate"	0
"M_m00920c"	"3-sulfopyruvate"	14
"M_m02351c"	"L-cysteinyl-tRNA(cys)"	0
"M_thyochol_c"	"Taurohyocholic acid; N-(3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oyl)taurine"	1
"M_ethmalac_c"	"Ethylmalonic Acid"	0
"M_hepcoa_m"	"Heptanoyl Coenzyme A"	0
"M_m00088m"	"(3Z)-dodecenoyl-CoA"	0
"M_m01150c"	"6,7-dihydro-12-epi-LTB4"	0
"M_c101crn_c"	"Decenoyl Carnitine"	1
"M_3ohsebac_c"	"3-Hydroxy-Sebacic Acid"	0
"M_asplyshis_c"	"Aspartyl-Lysyl-Histidine"	0
"M_m01151c"	"6,7-dihydro-5-oxo-12-epi-LTB4"	0
"M_m01284c"	"adenylylselenate"	0
"M_m02481c"	"methylthioribose-1p"	0
"M_tetdece1crn_c"	"Tetradecenoyl Carnitine"	0
"M_m01281c"	"adenylated molybdopterin"	0
"M_thsacmp_c"	"thiomethyl-sulphoxide-conjugate-acetaminophen"	0
"M_m02480c"	"methylmalonyl-CoA"	0
"M_m02839c"	"reverse triiodthyronine"	34
"M_mhglz_c"	"Methyl-hydroxy-gliclazide"	0
"M_m00084m"	"(3S)-citramalyl-CoA"	0
"M_3octdectecoa_m"	"3,6,9,12-Octadecatetraenoyl Coenzyme A"	0
"M_m01507l"	"cholesterol-ester-stea"	0
"M_m02838c"	"retinyl-ester"	0
"M_adpoh_c"	"2-Hydroxyadipic Acid"	0
"M_m01506l"	"cholesterol-ester-penta"	0
"M_m03069c"	"tRNA(glu)"	0
"M_m02836c"	"retinoyl-glucuronide"	68
"M_m01505l"	"cholesterol-ester-palmn"	0
"M_m03068c"	"tRNA(gln)"	0
"M_am9csa_c"	"AM9 (cyclosporine)"	0
"M_phephethr_c"	"Phenylalanyl-Phenylalaninyl-Threonine"	0
"M_m01637c"	"dADP"	10
"M_m01504c"	"cholesterol-ester-palm"	32
"M_m02702c"	"peptide-L-aspartate"	0
"M_m02835c"	"retinoyl-CoA"	58
"M_m03067c"	"tRNA(cys)"	0
"M_4hatvlac_c"	"4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone"	0
"M_m01769c"	"eicosa-(2E,8Z,11Z,14Z,17Z)-pentaenoyl-CoA"	0
"M_m01636c"	"D-4-phosphopantothenate"	25
"M_m02701c"	"peptide-3-hydroxy-L-aspartate"	0
"M_m03066c"	"tRNA(asp)"	0
"M_m00304c"	"11-trans-LTE4"	0
"M_m02967c"	"testosterone glucuronide"	70
"M_m00437c"	"1-acylglycerol-3P-10,13,16-docosa"	0
"M_m02700c"	"peptide-2-[3-carboxy-3-(methylammonio)propyl]-L-histidine"	0
"M_m01635c"	"D-3-hydroxyhexanoyl-[ACP]"	0
"M_m03065c"	"tRNA(asn)"	0
"M_m01502l"	"cholesterol-ester-nanode"	0
"M_m00305c"	"12(13)-EpOME"	21
"M_m01634c"	"D-3-hydroxydodecanoyl-[ACP]"	0
"M_m03064c"	"tRNA(arg)"	0
"M_m01501l"	"cholesterol-ester-myrist"	0
"M_m00568c"	"2,2-dichloroacetaldehyde"	0
"M_m00302c"	"11-peroxy-(5Z,8Z,12E,14Z)-eicosatetraenoate"	0
"M_m01633c"	"D-3-amino-isobutanoate"	0
"M_m03063c"	"tRNA(ala)"	0
"M_doco13ecoa_c"	"13-Docosenoyl Coenzyme A"	0
"M_m01500l"	"cholesterol-ester-linolen"	0
"M_m01766r"	"ecgonine"	46
"M_m03062c"	"tRNA containing N7-methylguanine"	0
"M_m00300c"	"11-hydroxy-D4-neuroprostane"	0
"M_m00566c"	"2-(S-glutathionyl)acetyl glutathione"	0
"M_argcysgly_c"	"Arginyl-Cystinyl-Glycine"	0
"M_m03061c"	"tRNA containing N2-methylguanine"	0
"M_progly_c"	"L-Prolinylglycine"	82
"M_m01631m"	"cytochrome-C"	0
"M_m00434c"	"19-oxo-testosterone"	0
"M_m00567c"	"2,2-dichloro-1,1-ethanediol"	0
"M_m00301c"	"11-hydroxy-E4-neuroprostane"	0
"M_lysgluglu_c"	"Lysyl-Glutamyl-Glutamate"	0
"M_aspglupro_c"	"Aspartyl-Glutamyl-Proline"	0
"M_m03060c"	"tRNA containing 6-isopentenyladenosine"	0
"M_m00564c"	"2(S)-pristanal"	8
"M_m00431c"	"19-hydroxyandrostenedione"	0
"M_m02960g"	"T-antigen"	0
"M_m00565c"	"2-(S-glutathionyl)acetyl chloride"	0
"M_m00432c"	"19-hydroxytestosterone"	0
"M_m00698c"	"3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA"	0
"M_tyrcysthr_c"	"Tyrosyl-Cysteinyl-Threonine"	0
"M_c6crn_c"	"Hexanoyl Carnitine"	17
"M_m00562m"	"2(R),6-dimethyl-heptanoyl-CoA"	0
"M_sbcoa_c"	"Suberyl Coenzyme A"	0
"M_asnpheasp_c"	"Asparaginyl-Phenylalanyl-Aspartate"	0
"M_m01761c"	"D-xylulose-5-phosphate"	89
"M_ileglnglu_c"	"Isolecyl-Glutaminyl-Glutamate"	0
"M_galacglcgalacglcgal14acglcgalgluside_hs_g"	"I-Antigen"	0
"M_m00696c"	"3(S)-hydroxy-(5Z,8Z)-tetradecadienoyl-CoA"	0
"M_m00430c"	"19(S)-HETE"	0
"M_m00563c"	"2(S),6-dimethyl-heptanoyl-CoA"	0
"M_m00560c"	"1-radyl-2-acyl-sn-glycero-3-phosphocholine"	0
"M_6csmv_c"	"6'-beta-carboxy-simvastatin-lactone form"	0
"M_m00561c"	"2-(alpha-hydroxyethyl)thiamine-diphosphate"	7
"M_m00919c"	"3-sulfinylpyruvic acid"	0
